book,sentence_path,section,composition,similarity,normalized_similarity,text,n_words
1QM,1QM:18:7-19:1,sectarian_texts,War Scroll,0.95097655,0.9223058,הפליא ובריתכה שמרתה לנו מאז ושערי ישועות פתחתה לנו פעמים רבות למען בריתכה ותשא ענינו כטובכה בנו ואתה אל הצדק עשיתה למען שמכה גבורתכה הפלתה עמנו הפלא ופלא ומאז לוא נהיתה כמוהה כיא אתה ידעתה למועדנו והיום הופיע לנו כוחכה והראיתנו יד חסדיכה עמנו בפדות עולמים להסיר ממשלת אויב לאין עוד ויד גבורתכה ובמלחמה התגברתה על אויבינו למגפת כלה ועתה היום אץ לנו לרדוף המונם כיא אתה ולב גבורים מגנתה לאין מעמד לכה הגבורה ובידכה המלחמה ואין אל כמוכה ל חיכה ומועדים לרצונכה וגמול רשעים תשיב לאויביכה ותבצור ממ ל לעג וקלס לגבורים כיא קדוש אדירנו ומלך הכבוד אתנו וצבא רוחיו עם צעדינו ופרשינו ,105
4Q223_224,4Q223_224:f2iii:18-f2iv:8,non_sectarian_texts,Book_of_Jubilees,0.9506965,0.92125404, כי הוא אהב אותה במאוד מאוד מיום מות רחל אחותה כי תמימה וישרה הייתה בכול דרכיה ותכבד את יעקוב ובכול ימי חייה עמו לוא חטאתה בשבועה ובעת אשר נשבעתה לאביכה נשפטתה ואז ענה עישאו ויאמר לו אין לבני האדם ולנחשים שבועה נאמנה אשר השבע נשבעו עד עולם וכול יום יבקשו אלה לאלה רעה היככה יהרוגו איש את אויבו ואת צרו ואתה תשנאני אותי ואת בני עד עולם ואין לעשות עמכה אחוה שמע את דברי האלה אשר אנוכי מדבר לך אם יהפוך החזיר את עורו ואת שערו כצמר ירך ויעלו בראושו קרנים כקרני איל וצאון אז אעשה עמכה אחוה נפרדו שדים מאמן כי לוא היתה אח לי ואם יעשו ,110
1QS,1QS:1:19-2:3,sectarian_texts,community_rule,0.9506674,0.92114455,והלויים מברכים את אל ישועות ואת כול מעשי אמתו וכול העוברים בברית אומרים אחריהם אמן אמן והכוהנים מספרים את צדקות אל במעשי גבורתום ומשמיעים כול חסדי רחמים על ישראל והלויים מספרים את עוונות בני ישראל וכול פשעי אשמתם וחטאתם בממשלת בליעל וכול העוברים בברית מודים אחריהם לאמור נעוינו פשענו חטאנו הרשענו אנו ואבותינו מלפנינו בלכתנו קרי בחוקי אמת וצדיק אל אשר עשה משפטו בנו ובאבותינו ורחמי חסדו גמל עלינו מעולם ועד עולם והכוהנים מברכים את כול אנשי גורל אל ההולכים תמים בכול דרכיו ואומרים יברככה בכול טוב וישמורכה מכול רע ויאר לבכה בשכל חיים ויחונכה בדעת עולמים ,98
1QM,1QM:14:5-14:11,sectarian_texts,War Scroll,0.9506155,0.92094976,גבורות פלא וקהל גויים אסף לכלה אין שארית ולהרים במשפט לב נמס ולפתוח פה לנאלמים לרנן בגבורת אל וידים רפות ללמד מלחמה ונותן לנמוגי ברכים חזוק מעמד ואמוץ מתנים לשכם מכים ובענוי רוח רשות סם לבב קושי ובתמימי דרך יתמו כול גויי רשעה ולכול גבוריהם אין מעמד ואנו שארית עמכה ברוך שמכה אל החסדים השומר ברית לאבותינו ועם כול דורותינו הפלתה חסדיכה לשארית עמכה בממשלת בליעל ובכול רזי שטמתו לוא הדיחונו מבריתכה ורוחי חבלו גערתה ממנו ובהתרשע אנשי ממשלתו שמרתה נפש פדותכה ואתה הקימותה נופלים בעוזכה ורמי קומה תגדע להשפילם ולכול גבוריהם אין מציל ולקליהם אין מנוס ולנכבדיהם ,99
CD,CD:20:14-20:22,sectarian_texts,CD,0.9505735,0.9207919,האסף יורה היחיד עד תם כל אנשי המלחמה אשר שבו עם איש הכזב כשנים ארבעים ובקץ ההוא יחרה אף אל בישראל כאשר אמר אין מלך ואין שר ואין שופט ואין מוכיח בצדק ושבי פשע יעקב שמרו ברית אל אז ידברו איש אל רעהו להצדיק איש את אחיו לתמוך צעדם בדרך אל ויקשב אל אל דבריהם וישמע ויכתב ספר זכרון לפניו ליראי אל ולחושבי שמו עד יגלה ישע וצדקה ויראי אל ושבתם וראיתם בין צדיק ורשע בין עבד אל לאשר לא עבדו ועשה חסד לאלפים לאהביו ולשמריו לאלף דור בית פלג אשר יצאו מעיר הקדש ,95
4Q368,4Q368:f2:14-f9:2,unknown,rewritten pentateuch,0.9505478,0.9206955,תשבות וחג שבועות תעשה לך בכורי קציר חטים וחג הסוכות תקופת השנה שלוש פעמים בשנה יראה כל זכורך את פני האדון יהוה אלוהי ישראל כי אוריש גוים מפניך והרחבתי את לי ירות מ ה ומי בשר נהפך ת ואעמוד רים קרן עם השכנתה לך מליץ צה ארץ אדום ה אל משה לאמר ש ר שרי השבטים וכול שפטיהם ם למספר כול בית אבותם מכיר ועליתה אתה ואהרון לאהרון ולאלעזר בנו והפשטתה מש הנשארה לא ארית יה ם נני וי בעד ל ם לא ני התערבו באלהים את פי יהוה אלהיכם כבדו אותו וחרדו מ ,95
4Q163,4Q163:f8_10:5-f11ii:3,sectarian_texts,Pesharim,0.95051825,0.92058444,כול הארץ וזואת היד הנטויה על כול הגוים כיא יהוה צבאות יעץ ומי יפר וידו הנטויה ומי ישיבנה היאה מ כתוב בספר זכריה מפ בשנת מות המלך אחז היה המשא הזה אל תשמחי פלשת כולך כיא נשבר שבט מכך כיא משרש נחש יצא צפע ופריו שרף מעופף בכורי דלים ואביונים לבטח ירבצו והמתי ברעב שרשך ושאריתך יהרג ב ם ה עובדי המה ציה הזאת ואורגים חורי והיו שתתיה מדכאים כול עושי שכר אגמי נפש אך אולים שרי צען חכמי יועצי פרעוה עצה נבערה איך תאמרו אל פרעוה בני חכמים ,90
1QSa,1QSa:1:9-1:17,sectarian_texts,the_rule_of_the_congregation,0.9503045,0.91978157,בוא בגורל בתוך משפחתו ליחד בעדת קודש ולוא יקרב אל אשה לדעתה למשכבי זכר כיאם לפי מילואת לו עשרים שנה בדעתו טוב ורע ובכן תקבל להעיד עליו משפטות התורא ולהתיצב במשמע משפטים ובמלוא בו ובן חמש ועשרים שנה יבוא להתיצב ביסודות עדת הקודש לעבוד את עבודת העדה ובן שלושים שנה יגש לריב ריב ומשפט ולהתיצב ברואשי אלפי ישראל לשרי מאות שרי חמשים שרי עשרות שופטים ושוטרים לשבטיהם בכול משפחותם על פי בני אהרון הכוהנים וכול שרוש אבות העדה אשר יצא הגורל להתיצב בעבודות לצאת ולבוא לפני העדה ולפי שכלו עם תום דרכו יחזק מתנו למעמד לצבואת ,97
4Q427,4Q427:f8i:14-f8ii:17,sectarian_texts,4QH,0.9502603,0.91961545, ל בדו תה איש שכו בל אור ממשל כיא זוקקה לעולם ומקור ברכה כיא אין יגון ואנחה נחמתה ל בס ם עם רחות עולם למשכיל הודות ותפלה להתנפל והתחנן תמיד מקצ לקץ עם מבא אור לממשלתו בתקופות יום לתכונו לחוקות מאור גדול בפנות ערב ומוצא אור ברשית ממשלות חושך למועד לילה בתקופתו לפנות בוקר ובקצ האספו אל מעונתו מפני אור למוצא לילה ומבוא יומם תמיד בכול מולדי עת יסודי קץ ותקופות מועדים בתכונם באותותם לכול ממשלתם בתכון נאמנה מפי אל ותעודת הווה והיאה תהיה ואין אפס וזולתה לוא היה ולוא יהיה עוד כיא אל הדעות הכינה ואין אחר עמו ואני משכיל ידעתיכה אלי ברוח אשר נתתה בי ונאמנה שמעתי לסוד פלאכה ,113
4Q511,4Q511:f41:2-f48_49+51:4,sectarian_texts,Songs_of_Maskil,0.9502122,0.9194348, ת לכרובי קודש לוא יעשה כול י תעודתי פלגתה ליא ובשמיני אפצה פי דורות אשמתי ואצפה אל בותם ואל מוסדי הארץ עפרה ואדעה מחשבתכה כיא בידכה לפתוח לעין לוא ינח ין ואם א בדעת כ נחלה ומ ומשפטי צדק תעב קדוש א רוחי חבל למל לבבם כנדת תועבותיהם כזדון לבבם בת ם וב כיא לצדיקים יו במקור נצי ם וא כול סודי ית ט ם ואש גבור א למכותם ויסוד אדם על צדיק ב רזי פלאו א מל ם בעצת אל כיא ת בינתו נתן בלבבי הודות צדקו ו עה ובפי יפחד כול רוחות ממזרים להכניע טי טמאה כיא בתכמי בשרי יסוד ד ובגויתי מלחמות חוקי ,108
1QHa,1QHa:11:25-11:32,sectarian_texts,Hodayot,0.9501729,0.91928726,מים ולמי נחשבתי ומה כוח לי כיא התיצבתי בגבול רשעה ועם חלכאים בגורל ותגור נפש אביון עם מהומות רבה והוות מדהבה עם מצעדי בהפתח כל פחי שחת ויפרשו כול מצודות רשעה ומכמרת חלכאים על פני מים בהתעופף כול חצי שחת לאין השב ויורו לאין תקוה בנפול קו על משפט וגורל אף על נעזבים ומתך חמה לכעל נעלמים וקץ חרון לכול בליעל וחבלי מות אפפו לאין פלט וילכו נחלי בליעל על כול אגפי רום באש אוכלת בכול שנאביהם להתם כול עץ לח ויבש מפלגיהם ותשוט בשביבי להוב עד אפס כול שותיהם באושי חמר תאוכל וברקיע יבשה יסודי הרים לשרפה ושורשי חלמיש לנחלי זפת ותאוכל עד תהום ,106
4Q512,4Q512:f1_6:12-f48_50:2,sectarian_texts,purity ritual,0.9501688,0.9192718,וברית הרשונים ו אשמתם ועל ח כול מ ם ר ותקדשהו בכול כפורי רצונכה תם ותתעבם לכ ח את מעשיהם ואת בנגע נדה להבדל מן מנודה אשר יטמא בו והיה איש או אשה בהנגשו וברך וענה ואמר ברוך את אל ישראל אשר ותבדל לנו בין הטמא לטהור עבוד לכה בטהרת צדק וברצון טובכה ב ק ל ואחר יבוא וברך וענה ואמר ברוך אתה אל ישראל אשר על פיכה נפרשה טהרת כול בל יטהרו במי רחץ ואני היום ה הפרוש כפים אזי לה לכול ופר שו ולש שון בו ולעמכה כול ט ץ וברך וענה ואמר ברוך אתה אל ישראל אשר ,101
1QM,1QM:1:1-1:5,sectarian_texts,War Scroll,0.95015574,0.9192228,למשכיל ספר סרך המלחמה ראשית משלוח יד בני אור להחל בגורל בני חושך בחיל בליעל בגדוד אדום ומואב ובני עמון והעמלקי ויושבי פלשת ובגדודי כתיי אשור ועמהם בעזר מרשיעי ברית בני לוי ובני יהודה ובני בנימין גולת המדבר ילחמו בם בא לכול גדודיהם בשוב גולת בני אור ממדבר העמים לחנות במדבר ירושלים ואחר המלחמה יעלו משם ובא מלך הכתיים במצרים ובקצו יצא בחמה גדולה להלחם במלכי הצפון ואפו להשמיד ולהכרית את קרן ישראל והיאה עת ישועה לעם אל וקץ ממשל לכול אנשי גורלו וכלת עולמים לכול גורל בליעל והיתה מהומה ,91
4Q174,4Q174:f1_2i:15-f1_3ii:4,sectarian_texts,Catena_Florilegium,0.95010245,0.9190226,אחרית הימים ויהי כחזקת היד ויסרני מלכת בדרך העם הזה והמה אשר כתוב עליהמה בספר יחזקאל הנביא אשר לוא יטמאו עוד בגלוליהמה המה בני צדוק ואנשי עצתמה רו י אחריהמה לעצת היחד למה רגשו גויים ולאומים יהגו ריק יתיצבו מלכי ארץ ורוזנים נוסדו יחד על יהוה ועל משיחו פשר הדבר גויים וה בחירי ישראל באחרית הימים היאה עת המצרף הבאה יהודה להתם בליעל ונשאר ש ם גורל ועשו את כול התורה מושה היאה ה אשר כתוב בספר דניאל הנביא להרשיע רשעים צדיקים ויתלבנו ויצטרפו ועם יודעי אלוה יחזיקו המ אחרי ה אשר אליהמה יו ,95
1QSa,1QSa:2:4-2:13,sectarian_texts,the_rule_of_the_congregation,0.95004696,0.9188142,אדם אל יבוא בקהל אלה וכול איש מנוגע באלה לבלתי החזיק מעמד בתוך העדה וכול מנוגע בבשרו נכאה רגלים או ידים פסח או עור או חרש או אלם או מום מנוגע בבשרו לראות עינים או איש זקן כושל לבלתי התחזק בתוך העדה אל יבואו אלה להתיצב בתוך עדת אנושי השם כיא מלאכי קודש בעדתם ואם יש דבר לאחד מאלה לדבר אל עצת הקודש ודורשוהו מפיהו ואל תוך העדה לא יבוא האיש כיא מנוגע הוא זה מושב אנשי השם קריאי מועד לעצת היחד אם יוליד אל את המשיח אתם יבוא הכוהן רואש כול עדת ישראל וכול אבות בני אהרון הכוהנים קריאי מועד אנושי השם וישבו ,105
4Q418,4Q418:f60:3-f69ii:7,sectarian_texts,Instruction,0.9500365,0.918775,ויצ ת מי ם ה ב כב יכה ואל יר ע ת לוא ידמ והארץ וכול ה ובה אם ה ואם על ותם ם א ך דור ודור העת ופקודת ופקודות ואתה התבונן ל ה התחזק ה ה תו י ה מחכה ותשכיל מות עם דתם הלוא באמת יתהלכו הם ובדעה כול גליהם ועתה אוילי לב מה טוב ללוא ומה השקט ללוא היה ומה משפט ללוא נוסד ומה יאנחו מתים על כל יומם אתם ל נוצרתם ולשחת עולם תשובתכם כי תקיץ חטאכמה מחשכיה יצרחו על ריבכם וכול נהיה עולם דורשי אמת יעורו למשפטכם ואז ,95
1QHa,1QHa:13:23-13:30,sectarian_texts,Hodayot,0.9498455,0.9180575, וגבורי פלא משריתיכה ועם ענוים בטאטאיי רגליכה יחד עם נמהרי צדק להעלות משאון יחד כול נמה אביוני חסד ואני הייתי על ע דני לריב ומדנים לרעי קנאה ואף לבאי בריתי ורגן ותלונה לכול נועדי גם אוכלי לחמי עלי הגדילו עקב ויליזו עלי בשפת עול כול נצמדי סודי ואנשי עצתי סוררים ומלינים סביב וברז חבתה בי ילכו רכיל לבני הוות ובעבור הגבירכה בי ולמען אשמתם סתרת מעין בינה וסוד אמת והמה הוות לבם יחשובו ודברי בליעל פתחו לשון שקר כחמת תנינים פורחת לקצים וכזוחלי עפר יורו לחתוף מבלגות פתנים לאין חבר ותהי לכאוב אנוש ונגע נמאר בתכמי עבדכה להכשיל רוח ולהתם ,102
4Q418,4Q418:f188:4-f202:1,sectarian_texts,Instruction,0.9497751,0.9177931, ם הש אבות כיא נחמד הוא מעשי ברית לוא ידרשו פן ישוגו בדברי קודש אתה ובניכה פן ישפ בל יבין גלה אוזניכה ברז נהיה נהיות עולם ל חד מרפאו תה לוא וגבורת ו בינה ל ילי א ל כ הב ה ומ התהלכה וכול ש ם לע שכילו בכול ולא וקח מצות ש ל דרכי תמיד בכול מעשיו ובה אבדה תקות שונא הבא ביחד אל תוסף עוד אשר אל י יגון ובמריר למען תופיע כש לוא תזכיר ב נהיה הודיע אל נחלת ויסגר בעד כול בני עולה ו קח מולדי ,92
4Q512,4Q512:f18:3-f1_6:12,sectarian_texts,purity ritual,0.94972616,0.9176093, בשמחה את כול הדברים האלה יעשה הזב בטוהרו מזובו טהרת ישראל ולאכול ולשתות בערי מושבותם ולהיות עם קודש אש וביום השלישי וברך וענה ואמר ברוך אתה אל ישראל אשר צויתה לטמאי עתים להטהר מנדת נפש בכפורי רצונכה אפר קודש כב ח במי דוכי ל בלוחות עולם ומי רחץ לטהרת עתים בגדיו ואחר יוזה עליו את מימי הזיה לטהרו ואת כול ואחר הוזותו את מימי הזיה יברך וענה ואמר ברוך אתה אל ישראל אשר נתתה לנו ומונדות טמאה והיום אני קד נדה להתקדש לכה ו עולמים כיא נדה ולוא יוכל כול ימי כבודכה וברית הרשונים ו אשמתם ועל ח ,100
1QS,1QS:6:2-6:7,sectarian_texts,community_rule,0.9496812,0.9174405,וישמעו הקטן לגדול למלאכה ולממון ויחד יואכלו ויחד יברכו ויחד יועצו ובכול מקום אשר יהיה שם עשרה אנשים מעצת החיד היחד אל ימש מאתם איש כוהן ואיש כתכונו ישבו לפניו וכן ישאלו לעצתם לכול דבר והיה כיא יערוכו השולחן לאכול או התירוש לשתות הכוהן ישלח ידו לרשונה להברך בראשית הלחם או התירוש לשתות הכוהן ישלח ידו לרשונה להברך בראשית הלחם והתירוש ואל ימש במקום אשר יהיו שם העשרה איש דורש בתורה יומם ולילה תמיד על יפות חליפות איש לרעהו והרבים ישקודו ביחד את שלישית כול לילות השנה לקרוא בספר ולדרוש משפט ,92
4Q417,4Q417:f1ii:15-f2i:11,sectarian_texts,Instruction,0.9496769,0.91742414,תחשוב אל תאמר כן בכול עת פן ישבעכה וכרוחו דבר בו פן י בלוא הוכח הכשר עבור לו והנקשר וגם את רוחו לא תבלע כיא בדממה דברתה ותוכחתו ספר מהר ואל תעבור על פשעיכה כיא יצדק כמוכה הואה כיא הואה כיא הואה שר בשרים ועם סליחה יעשה כיא מה הואה יחיד בכול מעשה לבלתי ואיש עול אל תחשוב עזר וגם אין שונא ברעיכה לבלתי הריעכה רשע מעשיו עם פקדתו ודע במה תתהלך עמו אל תמוש מלבכה ואל לכה לבדכה תרחב נפשכה בראשכה כיא מה צעיר מרש ואל תשםח באבלכה פן תעמל בחיכה הבט ברז נהיה וקח מולדי ישע ודע מי נוחל כבוד ועמל הלוא שים ששון לנכאי רוח ,109
4Q491,4Q491:f1_3:15-f4:2,sectarian_texts,4QM,0.9496674,0.91738856,המה על מעמדמה עם מלא עונתמם הראישונים ישובו וקמו השנית בערוך המלחמה ומלאה המערכה השנית את עונתה ושבו ועמדו על מעמדמה והשלישית ועמד כוהן הראוש ואחיו הכוהנים והלוייים ואנשי הסרך והכוהנים בכול עת המריעים בחצוצרות ואבנט בד שש משוזר תכלת וארגמן ותולעת שני וצורת רוקמה מעשה חושב וכתונת בד ומכנסי בד ופרי מגבעות בראשיהמה ואל המקדש לוא יביאום כיא אלה בגדי מלחמה ככול הסרך הזה שרי המחנות ל כול מלאו לכלת חן ומ מבן עשרים שנה ומעלה לה ,79
4Q504,4Q504:f1_2Ri:7-f1_2Rii:19,sectarian_texts,Dibre Hameorot,0.949638,0.9172782, אמן אמן ו נפלאות ממצרים מדבר תיכה אנא אדני עשה נא כמוכה כגדול כוחכה אשר נשאתה לאבותינו בהמרותם את פיכה ותתאנף בם להשמידם ותחס עליהמה באהבתכה אותם ולמען בריתכה כיא כפר מושה בעד חטאתם ולמען דעת את כוחכה הגדול ואת רוב חסדכה לדורות עולם ישוב נא אפכה וחמתכה מעמכה ישראל על כול חטאתם וזכרתה את נפלאותיכה אשר עשיתה לעני גוים כיא נקרא שמכה עלינו ל בנו בכול לב ובכול נפש ולטעת תורתכה בלבנו לבלתי סור ממנה ללכת מימין ושמאול כיא תרפאנו משגעון ועורון ותמהון לבב הן בעוונותינו נמכרנו ובפשעינו קרתנו והצלתנו מחטוא לכה ת ולהביננו לתעודות לות אתה עשיתם ם ופעולתם ,103
4Q427,4Q427:f10:4-f19:2,sectarian_texts,4QH,0.9496362,0.91727144,עמוד במשפטי עדים במכון עולם לאור אורתים עד נצח ונס חושך ות ל לאין סוף וקצי שלום לאין חקר בנתיבות שלום ועם בשר להפליא כאלה כיא פן תהלכו פעמי על מטמוני פחים ומפרשי רשת וערמת איכה אשמר ביצר עפר מהתפרר ומתך דונג בהמס לפני אש ומקוי אפר איכה אעמוד לפני רוח סוערה ואני יכינני ב וישמורהו לרזי חפצו כיא הוא ידע ל כלה ופח לפח יטמונו צמי ומשפטי נגע וכלת עולם חמה לוא ברכה על א ללוא י עד פלט ל מוש צדק בקשו אל הכושלים מות אין ת יכים ל פים ל ,94
4Q504,4Q504:f6:9-f7:15,sectarian_texts,Dibre Hameorot,0.94959867,0.9171304, שכנו בדד ובגוים לוא נתחשב וא אתה בקרבנו בעמוד אש וענן ב קודשכה הולך לפנינו וכבודכה בתוכנו פני מושה עבדכה כיא אתה ה ה ונקה ולוא תנקה כיסר איש את בנו קדושים וטהורים אשר יעשה אותם האדם וחי בם ב השבועה אשר נשבעתה ים בפניכה ח ברוך אדוני נחקר גדולותיכה רוח כול חי תה מישר את הנפלאים אשר עשיתה ישראל לספר דורות עולם מעשי ידיכה ר לכבודכה היאה לוא תקצר לוא יבצר ממכה כול ה היאה שמתה שימה ש ואל תטושנו ואל תעזובנו רך וברחמיכה שות קדמנו אשר נשאתה לאבותינו בר אשר המרו את פיכה וינסכוה וימצאוכה ,99
4Q381,4Q381:f1:1-f4:2,non_sectarian_texts,Collections_of_psalms,0.9495914,0.9171031,הגדתי ונפלאתו אשיחה והיא תהיה לי למורה משפט פי ולפתאים ויבינו ולאין לב ידעון יהוה כמה גבור נפלאות הוא ביומי עשה שמים וארץ ובדבר פיו ואפיקים שך אורותיה אגמים וכל בלעה וי ר ל לילה וככבים וכסילים ויהיר מר לאו עץ וכל פרי כרם וכל תבואות שדה ולפי דבריו כל את אשתו וברוחו העמידם למשל בכל אלה באדמה ובכל לחדש בחדש למועד במועד ליום ביום לאכל פריה תנובב הארץ ועוף וכל אשר להם לאכל חלבי כל וגם מש בהם וכל צבאיו ומלאכיו ר לעבד לאדם ולשרתו וה ל מו ל מעלליה ויכר ל בינות לי לל ם ,98
4Q225,4Q225:f1:1-f2i:6,non_sectarian_texts,Book_of_Jubilees,0.94945693,0.916598, ל מעוון הזנות אשר ם הואה אתכל מצרים ויכא אותם בליעל ברוח כבריתו נכרתה עם אברהם ויאכלו ת מצרים וימכור אותם אלוהים ואתה מושה בדברי עמכה הבריאה עד יום הבריאה החדשה משטמה עומד ויקם ביד מושה וביום אשר נ על שפת הים של ה ק ת תכרת הנפש ההיא מקרב עמיה ישב בחרן עשרים שנה ויאמר אברהם אל אלוהים אדני הנני בא עררי ואליעזר בן ביתי הואה וירשני אמר אדני אל אברהם שא צפא את הכוכבים וראה וספור את החכול אשר על שפת הים ואת עפר הארץ כי אם ,91
4Q429,4Q429:f1i:1-f2:11,sectarian_texts,4QH,0.9493698,0.91627073,עצם אדירים ושותי דם גבורים ותשימני במגורי עם דיגים רבים פורשי מכמרת על פני מים וצידים לבני עולה ושם למשפט יסדתני וסוד אמת אמצתה בי לנגד בני אדם הפלתה באביון ותביאהו במצרף כזהב במעשי אש וככסף מזוקק בכור נופחים לטוהר שבעתים וימהרו עלי רשעי עמים במצוקותיהמה וכל היום ידכאו נפשי ואתה אלי תשב סערה לדממה ונפש אביון פלטתה כצפור מפח וכטרף מפי אריות מעין בינה וסוד אמת והמה הוות לבם יחשבו ודברי בליעל פתחו לשון שקר כחמת תנינים פורחת לקצים וכזוחלי עפר יורו לחתוף מבלגות פתנים לאין חבר ותהי לכאוב אנוש ונגע נמאר ,94
1QpHab,1QpHab:3:4-4:1,sectarian_texts,Pesharim,0.9493195,0.9160818,פשרו על הכתיאים אשר פחדם ואימתם על כול הגואים ובעצה כול מחשבתם להרע ובנכל ומרמה ילכו עם כול העמים וקול מנמרים סוסו וחדו מזאבי ערב פשו ופרשו פרשו מרחוק יעופו כנשר חש לאכול כולו לחמס יבוא מגמת פניהם קדים פשרו על הכתיאים אשר ידושו את הארץ בסוסיהם ובבהמתם וממרחק יבואו מאיי הים לאכול את כול העמים כנשר ואין שבעה ובחמה וכעס ובחרן אף וזעף אפים ידברו עם כול העמים כיא הוא אשר אמר מגמת פניהם קדים ויאסוף כחול שבי פשרו על הכתיאים אשר והוא במלכים יקלס ורזנים משחק לו פשרו אשר ,92
4Q423,4Q423:f1_2i:1-f3:5,sectarian_texts,Instruction,0.9491731,0.91553193, וכל פרי תנובה וכל וכל עץ נעים נחמד להשכיל הלוא גן נעים הוא ונחמד להשכיל מואדה ובו המשילכה לעבדו ולשמרו גן נאות האדמה קוץ ודרדר תצמיח לכה וכוחה לא תתן לכה במועלכה ילדה וכל רחמי הורת ל ה ש תה כל אוטכה בכל חפציכה כי כל תצמיח לכה ם תמיד לא ובמטע בם ה מואס הרע יודע הטוב בין דרכו ודרך ה ולחם וכוחו ל ותם לריק כוחכה ברז נהיה וכן התהלך וכל תבואתכה תרבה לאחוזת ארץ ועל פיהו הרתה כל רחם ובאתה לפני אלהיכה עם ראשית פרי בטנכה ובכור כל בהמתכה ובאתה לפני אלהיכה לאמר וקדשתי כול פטר רחם לאלהים ,103
11Q13,11Q13:2:15-2:24,sectarian_texts,Melchizedek,0.9490713,0.9151495,יום השלום אשר אמר ביד ישעיה הנביא אשר אמר מה נאוו על הרים רגלי מבשר משמיע שלום מבשר טוב משמיע ישועה אומר לציון מלך אלוהיך פשרו ההרים המה הנביאים המה א מ לכול והמבשר הואה משיח הרוח כאשר אמר דניאל עליו עד משיח נגיד שבועים שבעה ומבשר טוב משמיע ישועה הואה הכתוב עליו אשר לנחם האבלים פשרו להשכילמה בכול קצי העולם באמת למ מה א ר הוסרה מבליעל ותשוב נק במשפטי אל כאשר כתוב עליו אומר לציון מלך אלוהיך ציון היאה עדת כול בני הצדק המה מקימי הברית הסרים מלכת בדרך העם ואלוהיך הואה ,95
1QS,1QS:8:18-8:25,sectarian_texts,community_rule,0.9490419,0.9150392,עד אשר יזכו מעשיו מכול עול להלך בתמים דרך וקרבהו בעצה על פי הרבים ואחר יכת ב בתכונו וכמשפט הזה לכול הנוסף ליחד ואלה המשפטים אשר ילכו בם אנשי התמים קודש איש את רעהו כול הבא בעצת הקודש ההולכים בתמים דרך כאשר צוה כול איש מהמה אשר יעבר דבר מתורת מושה ביד רמה או ברמיה ישלחהו מעצת היחד ולוא ישוב עוד ולוא יתערב איש מאנשי הקודש בהונו ועם עצתו לכול דבר ואם בשגגה יעשה והובדל מן הטהרה ומן העצה ודרשו המשפט אשר לוא ישפוט איש ולוא ישאל על כול עצה שנתים ימים אמ תתם דרכו ,96
1QpHab,1QpHab:8:4-8:15,sectarian_texts,Pesharim,0.9490332,0.91500646,ינוה אשר הרחיב כשאול נפשו והוא כמות לוא ישבע ויאספו אלו כול הגוים ויקבצו אלו כול העמים הלוא כולם משל עליו ישאו ומליצי חידות לו ויומרו הוי המרבה ולוא לו עד מתי יכביד עלו עבטט פשרו על הכוהן הרשע אשר נקרא על שם האמת בתחלת עומדו וכאשר משל בישראל רם לבו ויעזוב את אל ויבגוד בחוקים בעבור הון ויגזול ויקבוץ הון אנשי חמס אשר מרדו באל והון עמים לקח לוסיף עליו עון אשמה ודרכי תועבות פעל בכול נדת טמאה הלוא פתאאום ויקוםו ונושכיך ויקיצו מזעזיעיכה והיתה למשיסות למו כי אתה שלותה גוים רבים וישלוכה כול יתר עמים ,98
4Q417,4Q417:f1i:1-f1i:11,sectarian_texts,Instruction,0.9487219,0.91383713, ואתה מבין הבט וברזי פלאי אל הנוראים תשכיל ראש לו בפ כה והבט ברז נהיה ומעשי קדם למה נהיה ומה נהיה במה ל עולם לתש למה הויא ולמה נהיה במה ש בכול מעשה ומעשה יומם ולילה הגה ברז נהיה ודורש תמיד ואז תדע אמת ועול חכמה ואולת ת מעשה בכול דרכיהם עם פקודתם לכול קצי עולם ופקודת עד ואז תדע בין טוב לרע כמעשיהם כיא אל הדעות סוד אמת וברז נהיה פרש את אושה ומעשיה לכל חכמה ולכל ערמה יצרה וממשלת מעשיה לכול למה וכול את כול בא פרש למבינתם לכול מעשיה להתהלך ביצר מבינתם ויפרש לא ריה ובכושר מבינות נודעו נסתרי ,104
CD,CD:13:8-13:16,sectarian_texts,CD,0.94871265,0.91380244,אל ויבינם בגבורות פלאו ויספר לפניהם נהיות עולם בפרתיה וירחם עליהם כאב לבניו וישקה לכל מדהובם כרועה עדרו יתר כל חרצובות קשריהם לבלתי היות עשוק ורצוץ בעדתו וכל הנוסף לעדתו יפקדהו למעשיו ושוכלו וכוחו וגבורתו והונו וכתבוהו במקומו כפי נחלתו בגורל האור אל ימשול איש מבני המחנה להביא איש אל העדה זולת פי המבקר אשר למחנה ואיש מכל באי ברית אל אל ישא ואל יתן לבני השחר כי אם כף לכף ואל יעש איש דבר למקח ולממכר כי אם הודיע למבקר אשר במחנה ועשה בעצה ולא ישוגו וכן לכל לוקח אשה ,92
