N,C Ph,Ref,JBD,NoG CPh,NoG Rec ,NoG Reg,Quant mid,Quant pre,Aff pron,Aff conj,Aff prep,Po,Pr,Mult Rec ,Mult regs,Rec part Pas,Rec part pf,Rec part pm,Rec part sf,Rec  part sm,Reg part Pas,Reg part pf,Reg  pm,Reg  sf, Reg  sm,צורת הסמיכות,C Ph
708,צור ישעתו,Deu 32:15,,,,,,,V,, ,V,,,,,,,,,,,,,,,
709,מכעס בניו ובנתיו,Deu 32:19,,,,,,,V,,V,V,,2, ,,,,,,,,,,,,
710,דור תהפכת ,Deu 32:20,,,,,,,,,,V,,,,,,,,,,,,,,,
711,מוסדי הרים,Deu 32:22,,,,,,,,,,V,,,,,,,,,,,,,,,
712,מְזֵי רָעָב ,Deu 32:24,,,,,,,,,,V,,,,,,,,,,,V,,,,
713,ולחמי רשף,Deu 32:24,,,,,,,,V, ,V,,,,,,,,,V,,V,, ,,
714,ושן בהמות,Deu 32:24,,,,,,,,V, ,V,,,,,,,,,,,,,,,
715,חמת זחלי עפר,Deu 32:24,,,,,,,,,,V,,,2,,,,,,,,,,,,
716,איש שיבה,Deu 32:25,,,,,,,,,,V,,,,,,,,,,,,,,,
717,כעס אויב,Deu 32:27,,,,,,,,,,V,,,,,,,,V,,,,,,,
718,אֹבַד עֵצוֹת,Deu 32:28,,,,,,,,,,V,,,,,,,,,,,,,V,,
719,מגפן סדם,Deu 32:32,,,,,,,,,V,V,,,,,,,,,,,,,,,
720,ומשדמת עמרה,Deu 32:32,,,,,,,,V,V,V,,,,,,,,,,,,,,,
721,ענבי רוש,Deu 32:32,,,,,,,,,,V,,,,,,,,,,,,,,,
722,אשכלת מררת,Deu 32:32,,,,,,,,,,V,,,,,,,,,,,,,,,
723,חמת תנינים,Deu 32:33,,,,,,,,,,V,,,,,,,,,,,,,,,
724,ראש פתנים,Deu 32:33,,,,,,,,,,V,,,,,,,,,,,,,,,
725,יום אידם,Deu 32:35,,,,,,,V,, ,V,,,,,,,,,,,,,,,
726,חלב זבחימו,Deu 32:38,,,,,,,V,, ,V,,,,,,,,,,,,,,,
727,יין נסיכם,Deu 32:38,,,,,,,,,,V,,,,,,,,,,,,,,,
728,ברק חרבי,Deu 32:41,,,,,,,V,, ,V,,,,,,,,,,,,,,,
729,מדם חלל,Deu 32:42,,,,,,,,,V,V,,,,,,,,,,,,,,,
730,מראש פרעות אויב,Deu 32:42,,,,,,,,,V,V,,,2,,,,,,,,,,,,
731,דם עבדיו,Deu 32:43,,,,,,,V,, ,V,,,,,,,,,,,,,,,
732,כל דברי השירה  ,Deu 32:44,,,,,,V,,,,V,,,,,,,,,,,,,,,
733,באזני העם,Deu 32:44,,,,,,,,,V,V,,,,,,,,,,,,,,,
734,כל דברי התורה ,Deu 32:46,,,,,,V,,,,V,,,,,,,,,,,,,,,
735,הר העברים,Deu 32:49,,,,,,,,,,V,,,,,,,,,,,,,,,
736,הר נבו,Deu 32:49,,,,,,,,,,V,,,,,,,,,,,,,,,
737,בארץ מואב,Deu 32:49,,,,,,,,,V,V,,,,,,,,,,,,,,,
738,ארץ כנען,Deu 32:49,,,,,,,,,,V,,,,,,,,,,,,,,,
739,לבני ישראל,Deu 32:49,,,,,,,,,V,V,,,,,,,,,,,,,,,
740,בני ישראל,Deu 32:51,,,,,,,,,,V,,,,,,,,,,,,,,,
741,במי מריבת קדש,Deu 32:51,,,,,,,,,V,V,,,2,,,,,,,,,,,,
742,מדבר צן,Deu 32:51,,,,,,,,,,V,,, ,,,,,,,,,,,,
743,בני ישראל,Deu 32:51,,,,,,,,,,V,,,,,,,,,,,,,,,
744,לבני ישראל,Deu 32:52,,,,,,,,,V,V,,,,,,,,,,,,,,,
745,איש האלהים ,Deu 33:1,,,האלהים,,,,,,,V,,,,,,,,,,,,,,,
746,בני ישראל,Deu 33:1,,,,,,,,,,V,,,,,,,,,,,,,,,
747,מהר פארן,Deu 33:2,,,,,,,,,V,V,,,,,,,,,,,,,,,
748,מרבבת קדש,Deu 33:2,,,,,, ,,,V,V,,,,,,,,,,,,,,,
749,קהלת יעקב,Deu 33:4,,,,,,,,,,V,,,,,,,,,,,,,,,
750,ראשי עם,Deu 33:5,,,,,,,,,,V,,,,,,,,,,,,,,,
751,שבטי ישראל,Deu 33:5,,,,,,,,,,V,,,,,,,,,,,,,,,
752,קול יהודה,Deu 33:7,,,,,,,,,,V,,,,,,,,,,,,,,,
753,מי מריבה,Deu 33:8,,,,,,,,,,V,,,,,,,,,,,,,,,
754,ופעל ידיו,Deu 33:11,,,,,, ,V,V,,V,,,,,,,,,,,,,,,
755,ידיד יהוה,Deu 33:12,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
756,מברכת יהוה,Deu 33:13,,,יהוה,,,,,,V,V,,,,,,,,,V,,,V, ,,
757,ממגד שמים,Deu 33:13,,,,,,,,,V,V,,,,,,,,,,,,,,,
758,וממגד תבואת שמש,Deu 33:14,,,,,,,,V,V,V,,,2,,,,,,,,,,,,
759,וממגד גרש ירחים,Deu 33:14,,,,,,,,V,V,V,,,2,,,,,,,,,,,,
760,ומראש הררי קדם,Deu 33:15,,,,,,,,V,V,V,,,2,,,,,,,,,,,,
761,וממגד גבעות עולם,Deu 33:15,,,,,,,,V,V,V,,,2,,,,,,,,,,,,
762,וממגד ארץ  ,Deu 33:16,,,,,,,,V,V,V,,,,,,,,,,,,,,,
763,ורצון שכני סנה,Deu 33:16,,,,,,,,V, ,V,,,2,,,V,,,,,V,,,,
764,לראש יוסף,Deu 33:16,,,,,,,,,V,V,,,,,,,,,,,,,,,
765,ולקדקד נזיר אחיו,Deu 33:16,,,,,,,V,V,V,V,,,2,,,,,,,,,,,,
766,בכור שורו,Deu 33:17,,,,,,,V,, ,V,,,,,,,,,,,,,,,
767,וקרני ראם,Deu 33:17,,,,,,,,V, ,V,,,,,,,,,,,,,,,
768,אפסי ארץ,Deu 33:17,,,,,,,,,,V,,,,,,,,,,,,,,,
769,זבחי צדק,Deu 33:19,,,,,,,,,,V,,,,,,,,,,,,,,,
770,שפע ימים,Deu 33:19,,,,,,,,,,V,,,,,,,,,,,,,,,
771,ושפני טמוני חול ,Deu 33:19,,,,,,,,V, ,V,,,2,,,,,,V,,V,, ,,
772,מרחיב גד,Deu 33:20,,,,,,,,,,V,,,,,,,,,,,,,V,,
773,חלקת מחקק,Deu 33:21,,,,,,,,,,V,,,,(?) V ,,,V,,,,,, ,,
774,ראשי עם,Deu 33:21,,,,,,,,,,V,,,,,,,,,,,,,,,
775,צדקת יהוה,Deu 33:21,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
776,גור אריה,Deu 33:22,,,,,,,,,,V,,,,,,,,,,,,,,,
777,שבע רצון,Deu 33:23,,,,,,,,,,V,,,,,,,,,,,,,,,
778,ברכת יהוה,Deu 33:23,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
779,רצוי אחיו,Deu 33:24,,,,,,,V,, ,V,,,,,,,,,V,,,,V,,
780,אלהי קדם,Deu 33:27,,אלהי קדם,,אלהי,,,,,,V,,,,,,,,,,,,,,,
781,זרעת עולם,Deu 33:27,,,,,,,,,,V,,,,,,,,,,,,,,,
782,עין יעקב,Deu 33:28,,,,,,,,,,V,, ,,,,,,,,,,,,,
783,ארץ דגן ותירוש,Deu 33:28,,,,,,,,,,V,,2, ,,,,,,,,,,,,
784,מגן עזרך,Deu 33:29,,,,,,,V,, ,V,,,,,,,,,,,,,,,
785,חרב גאותך,Deu 33:29,,,,,,,V,, ,V,,,,,,,,,,,,,,,
786,מערבת מואב,Deu 34:1,,,,,,,,,V,,V,,,,,,,,,,,,,,
787,הר נבו,Deu 34:1,,,,,,,,,,,V,,,,,,,,,,,,,,
788,ראש הפסגה,Deu 34:2,,,,,,,,,,,V,,,,,,,,,,,,,,
789,ארץ אפרים,Deu 34:2,,,,,,,,,,,V,,,,,,,,,,,,,,
790,כל ארץ יהודה,Deu 34:2,,,,,,V,,,,,V,,,,,,,,,,,,,,
791,בקעת ירחו,Deu 34:3,,,,,,,V,,,,V,,,,,,,,,,,,,,
792,עיר התמרים,Deu 34:3,,,,,,,,,,,V,,,,,,,,,,,,,,
793,עבד יהוה,Deu 34:5,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
794,בארץ מואב,Deu 34:5,,,,,,,,,V,,V,,,,,,,,,,,,,,
795,בארץ מואב,Deu 34:6,,,,,,,,,V,,V,,,,,,,,,,,,,,
796,בן מאה ועשרים,Deu 34:7,,,,,, ,,,,,V,,,,,,,,,,,,,,
797,בני ישראל,Deu 34:8,,,,,,,,,,,V,,,,,,,,,,,,,,
798,בערבת מואב,Deu 34:8,,,,,,,,,V,,V,,,,,,,,,,,,,,
799,ימי בכי אבל משה,Deu 34:8,,,,,,,,,,,V,,3,,,,,,,,,,,,
800,רוח חכמה,Deu 34:9,,,,,,,,,,,V,,,,,,,,,,,,,,
801,בני ישראל,Deu 34:9,,,,,,,,,,,V,,,,,,,,,,,,,,
802,בארץ מצרים,Deu 34:11,,,,,,,,,V,,V,,,,,,,,,,,,,,
803,לעיני כל ישראל,Deu 34:12,,,,,,V,,,V,,V,,,,,,,,,,,,,,
804,משלי שלמה ,Prov 1:1,,,,,,,,,,V,,,,,,,,,,,,,,,
805,בן דוד,Prov 1:1,,,,,,,,,,V,,,,,,,,,,,,,,,
806,מלך ישראל,Prov 1:1,,,,,,,,,,V,,,,,,,,,,,,,,,
807,אמרי בינה,Prov 1:2,,,,,,,,,,V,,,,,,,,,,,,, ,,
808,מוסר השכל,Prov 1:3,,,,,,,,,,V,,,,,,,,,,,,, ,,
809,דברי חכמים,Prov 1:6,,,,,,,,,,V,,,,,,,,,,,,,,,
810,יראת יהוה,Prov 1:7,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
811,ראשית דעת,Prov 1:7,,,,,,,,,,V,,,,,,,,,,,,,,,
812,מוסר אביך,Prov 1:8,,,,,,,V,, ,V,,,,,,,,,,,,,,,
813,תורת אמך,Prov 1:8,,,,,,,V,, ,V,,,,,,,,,,,,,,,
814,לוית חן,Prov 1:9,,,,,,,,,,V,,,,,,,,,,,,,,,
815,כשאול חיים,Prov 1:12,,,,,,,,,V,V,,,,,,,,,,,,,,,
816,כיורדי בור,Prov 1:12,,,,,,,,,V,V,,,,,,,,,,,V,, ,,
817,בעיני כל בעל כנף,Prov 1:17,,,,,V, ,,,V,V,,,2,,,,,,,,,,,,
818,ארחות כל בצע,Prov 1:19,,,,,V, ,,,,V,,,,,,,,,,,,, ,,
819,נפש בעליו,Prov 1:19,,,,,,,V,, ,V,,,,,,,,,,,,,,,
820,בפתחי שערים,Prov 1:21,,,,,,,,, V,V,,,,,,,,,,,,,,,
821,ויראת יהוה,Prov 1:29,,,יהוה,,,,,V, ,V,,,,,,,,,,,,,,,
822,מפרי דרכם,Prov 1:31,,,,,,,V,,V,V,,,,,,,,,,,,,,,
823,משובת פתים,Prov 1:32,,,,,,,,,,V,,,,,,,,,,,,,,,
824,ושלות כסילים,Prov 1:32,,,,,,,,V, ,V,,,,,,,,,,,,,,,
825,מפחד רעה,Prov 1:33,,,,,,,,,V,V,,,,,,,,,,,,,,,
826,יראת יהוה,Prov 2:5,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
827,ודעת אלהים,Prov 2:5,,,אלהים,,,,,V, ,V,,,,,,,,,,,,,,,
828,להלכי תם,Prov 2:7,,,,,,,,, V,V,,,,,,,,,,,V,, ,,
829,ארחות משפט,Prov 2:8,,,,,,,,,,V,,,,,,,,,,,,,,,
830,ודרך חסידו,Prov 2:8,,,,,,,V,V, ,V,,,,,,,,,,,,,,,
831,כל מעגל טוב,Prov 2:9,,,,,,V,,,,V,,,,,,,,,,,,,,,
832,ארחות ישר,Prov 2:13,,,,,,,,,,V,,,,,,,,,,,,,,,
833,בדרכי חשך,Prov 2:13,,,,,,,,,V,V,,,,,,,,,,,,,,,
834,בתהפכות רע,Prov 2:14,,,,,,,,,V,V,,,,,,,,,,,,,,,
835,אלוף נעוריה,Prov 2:17,,,,,,,V,, ,V,,,,,,,,,,,,,,,
836,ברית אלהיה,Prov 2:17,,,אלהיה ,,,,V,, ,V,,,,,,,,,,,,,,,
837,ארחות חיים,Prov 2:19,,,,,,,,,,V,,,,,,,,,,,,,,,
838,בדרך טובים,Prov 2:19,,,,,,,,,V,V,,,,,,,,,,,,,,,
839,בדרך טובים,Prov 2:20,,,,,,,,,V,V,,,,,,,,,,,,,,,
840,וארחות צדיקים,Prov 2:20,,,,,,,,V, ,V,,,,,,,,,,,,,,,
841,ארך ימים,Prov 3:2,,,,,,,,,,V,,,,,,,,,,,,,,,
842,ושנות חיים,Prov 3:2,,,,,,,,V, ,V,,,,,,,,,,,,,,,
843,לוח לבך,Prov 3:3,,,,,,,V,, ,V,,,,,,,,,,,,,,,
844,בעיני אלהים ואדם,Prov 3:4,,,אלהים,,,,,,V,V,,2, ,,,,,,,,,,,,
845,ומראשית כל תבואתך,Prov 3:9,,,,,V, ,V,V,V,V,,,,,,,,,,,,,,,
846,מוסר יהוה,Prov 3:11,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
847,מסחר כסף,Prov 3:14,,,,,,,,,,V,,,,,,,,,,,,,,,
848,ארך ימים,Prov 3:16,,,,,,,,,,V,,,,,,,,,,,,,,,
849,דרכי נעם,Prov 3:17,,,,,,,,,,V,,,,,,,,,,,,,,,
850,עץ חיים,Prov 3:18,,,,,,,,,,V,,,,,,,,,,,,,,,
851,ומשאת רשעים,Prov 3:25,,,,,,,,V,V,V,,,,,,,,,,,,,,,
852,לאל ידיך,Prov 3:27,,,,,,,V,,V,V,,,,,,,,,,,,,,,
853,באיש חמס,Prov 3:31,,,,,,,,,V,V,,,,,,,,,,,,,,,
854,תועבת יהוה,Prov 3:32,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
855,מארת יהוה,Prov 3:33,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
856,בבית רשע,Prov 3:33,,,,,,,,,V,V,,,,,,,,,,,,,,,
857,ונוה צדיקים,Prov 3:33,,,,,,,,V, ,V,,,,,,,,,,,,,,,
858,מוסר אב ,Prov 3:34,,,,,,,,,,V,,,,,,,,,,,,,,,
859,דברי לבך,Prov 3:35,,,,,,,V,, ,V,,,,,,,,,,,,,,,
860,מאמרי פי,Prov 4:5,,,,,,,V,,V,V,,,,,,,,,,,,,,,
861,לוית חן ,Prov 4:9,,,,,,,,,,V,,,,,,,,,,,,,,,
862,עטרת תפארת,Prov 4:9,,,,,,,,,,V,,,,,,,,,,,,,,,
863,בדרך חכמה,Prov 4:11,,,,,,,,,V,V,,,,,,,,,,,,,,,
864,במעגלי ישר,Prov 4:11,,,,,,,,,V,V,,,,,,,,,,,,,,,
865,בארח רשעים,Prov 4:14,,,,,,,,,V,V,,,,,,,,,,,,,,,
866,בדרך רעים,Prov 4:14,,,,,,,,,V,V,,,,,,,,,,,,,,,
867,לחם רשע ,Prov 4:17,,,,,,,,,,V,,,,,,,,,,,,,,,
868,ויין חמסים,Prov 4:17,,,,,,,,V, ,V,,,,,,,,,,,,,,,
869,וארח צדיקים,Prov 4:18,,,,,,,,V, ,V,,,,,,,,,,,,,,,
870,כאור נגה,Prov 4:18,,,,,,,,,V,V,,,,,,,,,,,,,,,
871,נכון היום,Prov 4:18,,,,,,,,,,V,,,,,,,,,V,,,,V,,
872,דרך רשעים,Prov 4:19,,,,,,,,,,V,,,,,,,,,,,,,,,
873,תוצאות חיים,Prov 4:23,,,,,,,,,,V,,,,,,,,,,,,,,,
874,עקשות פה,Prov 4:24,,,,,,,,,,V,,,,,,,,,,,,,,,
875,ולזות שפתים,Prov 4:24,,,,,,,,V, ,V,,,,,,,,,,,,,,,
876,מעגל רגלך,Prov 4:26,,,,,,,V,, ,V,,,,,,,,,,,,,,,
877,כחרב פיות,Prov 5:4,,,,,,,,,V,V,,,,,,,,,,,,,,,
878,ארח חיים,Prov 5:6,,,,,,,,,,V,,,,,,,,,,,,,,,
879,מאמרי פי,Prov 5:7,,,,,,,V,, ,V,,,,,,,,,,,,,,,
880,פתח ביתה,Prov 5:8,,,,,,,V,, ,V,,,,,,,,,,,,,,,
881,בבית נכרי,Prov 5:10,,,,,,,,,V,V,,,,,,,,,,,,,,,
882,בקול מורי,Prov 5:13,,,,,,,,,V,V,,,,,,,,,,,,,,,
883,פלגי מים,Prov 5:16,,,,,,,,,,V,,,,,,,,,,,,,,,
884,מאשת נעורך,Prov 5:18,,,,,,,V,,V,V,,,,,,,,,,,,,,,
885,אילת אהבים,Prov 5:19,,,,,,,,,,V,,,,,,,,,,,,,,,
886,ויעלת חן,Prov 5:19,,,,,,,,V, ,V,,,,,,,,,,,,,,,
887,חק נכריה,Prov 5:20,,,,,,,,,,V,,,,,,,,,,,,,,,
888,עיני יהוה,Prov 5:21,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
889,דרכי איש,Prov 5:21,,,,,,,,,,V,,,,,,,,,,,,,,,
890,ובחבלי חטאתו,Prov 5:22,,,,,,,V,V, V,V,,,,,,,,,,,,,,,
891,וברב אולתו,Prov 5:23,,,,,,,V,V,V,V,,,,,,,,,,,,,,,
892,באמרי פיך,Prov 6:2,,,,,,,V,,V,V,,,,,,,,,,,,,,,
893,באמרי פיך,Prov 6:2,,,,,,,V,,V,V,,,,,,,,,,,,,,,
894,בכף רעך,Prov 6:3,,,,,,,V,,V,V,,,,,,,,,,,,,,,
895,חבק ידים ,Prov 6:10,,,,,,,,,,V,,,,,,,,,,,,,,,
896,אדם בליעל,Prov 6:12,,,,,,,,,,V,,,,,,,,,,,,,,,
897,איש און,Prov 6:12,,,,,,,,,,V,,,,,,,,,,,,,,,
898,עקשות פה,Prov 6:12,,,,,,,,,,V,,,,,,,,,,,,,,,
899,תועבות נפשו,Prov 6:16,,,,,,,V,, ,V,,,,,,,,,,,,,,,
900,לשון שקר,Prov 6:17,,,,,,, ,,,V,,,,,,,,,,,,,,,
901,מחשבות און,Prov 6:18,,,,,,,,,,V,,,,,,,,,,,,,,,
902,עד שקר,Prov 6:19,,,,,,,,,,V,,,,,,,,,,,,,,,
903,מצות אביך,Prov 6:20,,,,,,,V,,,V,,,,,,,,,,,,,,,
904,תורת אמך,Prov 6:20,,,,,,,V,,,V,,,,,,,,,,,,,,,
905,ודרך חיים,Prov 6:23,,,,,,,,V,,V,,,,,,,,,,,,,,,
906,תוכחות מוסר,Prov 6:23,,,,,,,,,,V,,,,,,,,,,,,,,,
907,מאשת רע,Prov 6:24,,,,,,,,,V,V,,,,,,,,,,,,,,,
908,מחלקת לשון,Prov 6:24,,,,,,,,,V,V,,,,,,,,,,,,,,,
909,ככר לחם,Prov 6:26,,,,,,,,,,V,,,,,,,,,,,,,,,
910,ואשת איש,Prov 6:26,,,,,,,,V,,V,,,,,,,,,,,,,,,
911,אשת רעהו,Prov 6:29,,,,,,,V,,,V,,,,,,,,,,,,,,,
912,כל הון ביתו,Prov 6:31,,,,,,V,V,,,V,,,,,,,,,,,,,,,
913,חסר לב,Prov 6:32,?,,,,,,,,,V,,,,,,,,,,,,,,,
914,חמת גבר,Prov 6:34,,,,,,,,,,V,,,,,,,,,,,,,,,
915,ביום נקם,Prov 6:34,,,,,,,,,V,V,,,,,,,,,,,,,,,
916,פני כל כפר,Prov 6:35,,,,,V, ,,,,V,,,,,,,,,,,,,,,
917,כאישון עיניך,Prov 7:2,,,,,,,V,,V,V,,,,,,,,,,,,,,,
918,לוח לבך,Prov 7:3,,,,,,,V,, ,V,,,,,,,,,,,,,,,
919,בחלון ביתי,Prov 7:6,,,,,,,V,,V,V,,,,,,,,,,,,,,,
920,חסר לב,Prov 7:7,?,,,,,,,,,V,,,,,,,,,,,,,,,
921,ודרך ביתה,Prov 7:8,,,,,,,V,V, ,V,,,,,,,,,,,,,,,
922,באישון לילה,Prov 7:9,,,,,,,,,V,V,,,,,,,,,,,,,,,
923,שית זונה,Prov 7:10,,,,,,,,,,V,,,,,,,,,,,,,,,
924,ונצרת לב,Prov 7:10,,,,,,,,V, ,V,,,,,,,,,V,,,V, ,,
925,זבחי שלמים,Prov 7:14,,,,,,,,,,V,,,,,,,,,,,,,,,
926,אטון מצרים,Prov 7:16,,,,,,,,,,V,,,,,,,,,,,,,,,
927,צרור הכסף,Prov 7:20,,,,,,,,,,V,,,,,,,,,,,,,,,
928,ליום הכסא ,Prov 7:20,,,,,,,,,V,V,,,,,,,,,,,,,,,
929,ברב לקחה,Prov 7:21,,,,,,,V,,V,V,,,,,,,,,,,,,,,
930,בחלק שפתיה,Prov 7:21,,,,,,,V,,V,V,,,,,,,,,,,,,,,
931,מוסר אויל,Prov 7:22,,,,,,,,,,V,,,,,,,,,,,,,,,
932,לאמרי פי,Prov 7:24,,,,,,,V,,V,V,,,,,,,,,,,,,,,
933,דרכי שאול,Prov 7:27,,,,,,,,,,V,,,,,,,,,,,,,,,
934,חדרי מות,Prov 7:27,,,,,,,,,,V,,,,,,,,,,,,,,,
935,בראש מרומים,Prov 8:2,,,,,,,,,V,V,,,,,,,,,,,,,,,
936,בית נתיבות,Prov 8:2,,,,,,,,,,V,,,,,,,,,,,,,,,
937,מבוא פתחים,Prov 8:3,,,,,,,,,,V,,,,,,,,,,,,,,,
938,בני אדם,Prov 8:4,,,,,,,,,,V,,,,,,,,,,,,,,,
939,ומפתח שפתי,Prov 8:6,,,,,,,V,V, ,V,,,,,,,,,,,,,,,
940,ותועבת שפתי,Prov 8:7,,,,,,,V,V, ,V,,,,,,,,,,,,,,,
941,כל אמרי פי,Prov 8:8,,,,,,V,V,, ,V,,,,,,,,,,,,,,,
942,למצאי דעת,Prov 8:9,,,,,,,,,V,V,,,,,,,,,,,V,, ,,
943,ודעת מזמות,Prov 8:12,,,,,,,,V, ,V,,,,,,,,,,,,,,,
944,יראת יהוה,Prov 8:13,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
945,ופי תהפכות,Prov 8:13,,,,,,,,V, ,V,,,,,,,,,,,,,,,
946,כל שפטי צדק,Prov 8:16,,,,,,V,,,,V,,,,,,,,,,,V,, ,,
947,בארח צדקה,Prov 8:20,,,,,,,,,V,V,,,,,,,,,,,,,,,
948,נתיבות משפט,Prov 8:20,,,,,,,,,,V,,,,,,,,,,,,,,,
949,ראשית דרכו,Prov 8:22,,,,,,,V,, ,V,,,,,,,,,,,,,,,
950,קדם מפעליו,Prov 8:22,,,,,,,V,, ,V,,,,,,,,,,,,,,,
951,מקדמי ארץ,Prov 8:23,,,,,,,,,V,V,,,,,,,,,,,,,,,
952,נכבדי מים,Prov 8:24,,,,,,,,,,V,,,,,,,,,V,,V,, ,,
953,וראש עפרות תבל,Prov 8:26,,,,,,,,V, ,V,,,2,,,,,,,,,,,,
954,עינות תהום,Prov 8:28,,,,,,,,,,V,,,,,,,,,,,,,,,
955,מוסדי ארץ,Prov 8:29,,,,,,,,,,V,,,,,,,,,,,,,,,
956,בתבל ארצו,Prov 8:31,,,,,,,V,,V,V,,,,,,,,,,,,,,,
957,בני אדם,Prov 8:31,,,,,,,,,,V,,,,,,,,,,,,,,,
958,מזוזת פתחי,Prov 8:34,,,,,,,V,, ,V,,,,,,,,,,,,,,,
959,מצאי חיים,Prov 8:35,,,,,,,,, ,V,,,,,,,,,,,V,, ,,
960,גפי מרמי קרת,Prov 9:3,,,,,,,,,,V,,,2,,,,,,,,,,,,
961,חסר לב,Prov 9:4, ,,,,,,,,,V,,,,,,,,,,,,,,,
962,בדרך בינה,Prov 9:6,,,,,,,,,V,V,,,,,,,,,,,,,,,
963,תחלת חכמה ,Prov 9:10,,,,,,,,,,V,,,,,,,,,,,,,,,
964,יראת יהוה,Prov 9:10,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
965,ודעת קדשים,Prov 9:10,,,,,,,,V, ,V,,,,,,,,,,,,,,,
966,שנות חיים,Prov 9:11,,,,,,,,,,V,,,,,,,,,,,,,,,
967,אשת כסילות,Prov 9:13,,,,,,,,,,V,,,,,,,,,,,,,,,
968,לפתח ביתה,Prov 9:14,,,,,,,V,,V,V,,,,,,,,,,,,,,,
969,מרמי קרת,Prov 9:14,,,,,,,,,,V,,,,,,,,,,,,,,,
970,לעברי דרך,Prov 9:15,,,,,,,,,V,V,,,,,,,,,,,V,, ,,
971,וחסר לב,Prov 9:16, ,,,,,,,V, ,V,,,,,,,,,,,,,,,
972,ולחם סתרים,Prov 9:17,,,,,,,,V, ,V,,,,,,,,,,,,,,,
973,בעמקי שאול,Prov 9:18,,,,,,,,,V,V,,,,,,,,,,,,,,,
974,משלי שלמה ,Prov 10:1,,,,,,,,,,V,,,,,,,,,,,,,,,
975,תוגת אמו,Prov 10:1,,,,,,,V,, ,V,,,,,,,,,,,,,,,
976,אוצרות רשע,Prov 10:2,,,,,,,,,,V,,,,,,,,,,,,,,,
977,והות רשעים,Prov 10:3,,,,,,,,V, ,V,,,,,,,,,,,,,,,
978,כף רמיה,Prov 10:4,,,,,,,,,,V,,,,,,,,,,,,,,,
979,ויד חרוצים,Prov 10:4,,,,,,,,V, ,V,,,,,,,,,,,,,,,
980,ופי רשעים,Prov 10:6,,,,,,,,V, ,V,,,,,,,,,,,,,,,
981,זכר צדיק,Prov 10:7,,,,,,,,,,V,,,,,,,,,,,,,,,
982,ושם רשעים,Prov 10:7,,,,,,,,V, ,V,,,,,,,,,,,,,,,
983,חכם לב,Prov 10:8,,,,,,,,,,V,,,,,,,,,,,,,,,
984,ואויל שפתים,Prov 10:8,,,,,,,,V, ,V,,,,,,,,,,,,,,,
985,ואויל שפתים,Prov 10:10,,,,,,,,V, ,V,,,,,,,,,,,,,,,
986,מקור חיים,Prov 10:11,,,,,,,,,,V,,,,,,,,,,,,,,,
987,פי צדיק,Prov 10:11,,,,,,,,,,V,,,,,,,,,,,,,,,
988,ופי רשעים,Prov 10:11,,,,,,,,V, ,V,,,,,,,,,,,,,,,
989,בשפתי נבון,Prov 10:13,,,,,,,,,V,V,,,,,,,,,,,,,,,
990,לגו חסר לב,Prov 10:13,,,,,,,,,V,,,,2,,,,,,,,,,,,
991,ופי אויל,Prov 10:14,,,,,,,,V, ,V,,,,,,,,,,,,,,,
992,קרית עזו,Prov 10:15,,,,,,,V,, ,V,,,,,,,,,,,,,,,
993,מחתת דלים,Prov 10:15,,,,,,,,,,V,,,,,,,,,,,,,,,
994,פעלת צדיק,Prov 10:16,,,,,,,,,,V,,,,,,,,,,,,,,,
995,תבואת רשע,Prov 10:16,,,,,,,,,,V,,,,,,,,,,,,,,,
996,שפתי שקר,Prov 10:18,,,,,,,,,,V,,,,,,,,,,,,,,,
997,ברב דברים,Prov 10:19,,,,,,,,,V,V,,,,,,,,,,,,,,,
998,לשון צדיק,Prov 10:20,,,,,,,,,,V,,,,,,,,,,,,,,,
999,לב רשעים,Prov 10:20,,,,,,,,,,V,,,,,,,,,,,,,,,
1000,שפתי צדיק,Prov 10:21,,,,,,,,,,V,,,,,,,,,,,,,,,
1001,בחסר לב,Prov 10:21,?,,,,,,,,V,V,,,,,,,,,,,,,,,
1002,ברכת יהוה,Prov 10:22,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1003,לאיש תבונה,Prov 10:23,,,,,,,,,V,V,,,,,,,,,,,,,,,
1004,ברכת יהוה,Prov 10:22,,,יהוה,,,,,,V,V,,,,,,,,,,,,,,,
1005,מגורת רשע,Prov 10:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1006,ותאות צדיקים,Prov 10:24,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1007,יראת יהוה,Prov 10:27,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1008,ושנות רשעים,Prov 10:27,,,,,,,,V,,V,,,,,,,,,,,,,,,
