N,C Ph,Ref,JBD,NoG CPh,NoG Rec ,NoG Reg,Quant mid,Quant pre,Aff pron,Aff conj,Aff prep,Po,Pr,Mult Rec ,Mult regs,Rec part Pas,Rec part pf,Rec part pm,Rec part sf,Rec  part sm,Reg part Pas,Reg part pf,Reg  pm,Reg  sf, Reg  sm,צורת הסמיכות,C Ph
1083,ודרך רשעים,Prov 12:26,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1084,בארח צדקה,Prov 12:28,,,,,,,,,V,V,,,,,,,,,,,,,,,
1085,ודרך נתיבה,Prov 12:28,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1086,מוסר אב ,Prov 13:1,,,,,,,,,,V,,,,,,,,,,,,,,,
1087,מפרי פי איש,Prov 13:2,,,,,,,,,V,V,,,2,,,,,,,,,,,,
1088,ונפש בגדים,Prov 13:2,,,,,,,,V, ,V,,,,,,V,,,,,,, ,,
1089,ונפש חרצים,Prov 13:4,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1090,דבר שקר,Prov 13:5,,,,,,,,,,V,,,,,,,,,,,,,,,
1091,תם דרך,Prov 13:6,,,,,,,,,,V,,,,,,,,,,,,,,,
1092,כפר נפש איש,Prov 13:8,,,,,,,,,,V,,,2,,,,,,,,,,,,
1093,אור צדיקים,Prov 13:9,,,,,,,,,,V,,,,,,,,,,,,,,,
1094,ונר רשעים,Prov 13:9,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1095,תֹּוחֶ֣לֶת מְ֭מֻשָּׁכָה,Prov 13:12,?,,,,,,,,,V,,,,V,,,V,,,,,, ,,
1096,ועץ חיים,Prov 13:12,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1097,וִירֵ֥א מִ֝צְוָ֗ה,Prov 13:13,?,,,,,,,V,,V,,,,,,,,,,,,,,,
1098,תורת חכם,Prov 13:14,,,,,,,,,,V,,,,,,,,,,,,,,,
1099,מקור חיים,Prov 13:14,,,,,,,,,,V,,,,,,,,,,,,,,,
1100,ממקשי מות,Prov 13:14,,,,,,,,,V,V,,,,,,,,,,,,,,,
1101,וְדֶ֖רֶךְ בֹּגְדִ֣ים,Prov 13:15,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1102,וציר אמונים,Prov 13:17,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1103,ותועבת כסילים,Prov 13:19,,,,,,,,V , ,V,,,,,,,,,,,,,,,
1104,בני בנים,Prov 13:22,,,,,,,,,,V,,,,,,,,,,,,,,,
1105,חיל חוטא,Prov 13:22,,,,,,,,,,V,,,,,,,,,,,,,,,
1106,נִ֣יר רָאשִׁ֑ים,Prov 13:23,,,,,,,,,,V,,,,,,,,,,,,,,,
1107,לשבע נפשו,Prov 13:25,,,,,,,V,,V,V,,,,,,,,,,,,,,,
1108,ובטן רשעים,Prov 13:25,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1109,חכמות נשים,Prov 14:1,,,,,,,,,,V,,,,,,,,,,,,,,,
1110,יְרֵא יְהוָה,Prov 14:2,,,יהוה,,,,,,,V,,,,,,,,,,,,,V,,
1111,ונלוז דרכיו,Prov 14:2,,,,,,,V,,V,V,,,,,,,,,V,,,,V,,
1112,בפי אויל,Prov 14:3,,,,,,,,,V,V,,,,,,,,,,,,,,,
1113,חטר גאוה,Prov 14:3,,,,,,,,,,V,,,,,,,,,,,,,,,
1114,ושפתי חכמים,Prov 14:3,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1115,אבוס בר,Prov 14:4,,,,,,,,,,V,,,,,,,,,,,,,,,
1116,ורב תבואות,Prov 14:4,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1117,בכח שור,Prov 14:4,,,,,,,,,V,V,,,,,,,,,,,,,,,
1118,עד אמונים,Prov 14:5,,,,,,,,,,V,,,,,,,,,,,,,,,
1119,עד שקר,Prov 14:5,,,,,,,,,,V,,,,,,,,,,,,,,,
1120,שִׂפְתֵי־דָֽעַת,Prov 14:7,,,,,,,,,,V,,,,,,,,,,,,,,,
1121,חָכְמַ֣ת עָ֭רוּם,Prov 14:8,,,,,,,,,,V,,,,,,,,,,,,,,,
1122,וְאִוֶּ֖לֶת כְּסִילִ֣ים,Prov 14:8,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1123,מרת נפשו,Prov 14:10,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1124,בית רשעים,Prov 14:11,,,,,,,,,,V,,,,,,,,,,,,,,,
1125,ואהל ישרים,Prov 14:11,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1126,דרכי מות,Prov 14:12,,,,,,,,,,V,,,,,,,,,,,,,,,
1127,קְֽצַר־אַ֭פַּיִם,Prov 14:17,,,,,,,,,,V,,,,,,,,,,,,,,,
1128,שערי צדיק,Prov 14:19,,,,,,,,,,V,,,,,,,,,,,,,,,
1129, וְאֹהֲבֵי עָשִׁיר,Prov 14:20,,,,,,,,V, ,V,,,,,,,,,,,V,, ,,
1130,חרשי רע,Prov 14:22,,,,,,,,,,V,,,,,,,,,,,V,, ,,
1131,חרשי טוב,Prov 14:22,,,,,,,,,,V,,,,,,,,,,,V,, ,,
1132,ודבר שפתים,Prov 14:23,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1133,עטרת חכמים,Prov 14:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1134,אולת כסילים,Prov 14:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1135,עֵ֣ד אֱמֶ֑ת,Prov 14:25,,,,,,,,,,V,,,,,,,,,,,,,,,
1136,ביראת יהוה,Prov 14:26,,,יהוה,,,,,,V,V,,,,,,,,,,,,,,,
1137,מבטח עז,Prov 14:26,,,,,,,,,,V,,,,,,,,,,,,,,,
1138,יראת יהוה,Prov 14:27,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1139,מקור חיים,Prov 14:27,,,,,,,,,,V,,,,,,,,,,,,,,,
1140,ממקשי מות,Prov 14:27,,,,,,,,,V,V,,,,,,,,,,,,,,,
1141,ברב עם,Prov 14:28,,,,,,,,,V,V,,,,,,,,,,,,,,,
1142,הדרת מלך,Prov 14:28,,,,,,,,,,V,,,,,,,,,,,,,,,
1143,ובאפס לאם ,Prov 14:28,,,,,,,,V,V,V,,,,,,,,,,,,,,,
1144,מְחִתַּ֥ת רָזֹֽון,Prov 14:28,,,,,,,,,,V,,,,,,,,,,,,,,,
1145,אֶ֣רֶךְ אַ֭פַּיִם,Prov 14:29,,,,,,,,,,V,,,,,,,,,,,,,,,
1146,רַב־תְּבוּנָ֑ה,Prov 14:29,,,,,,,,,,V,,,,,,,,,,,,,,,
1147,וּקְצַר־ר֗֝וּחַ ,Prov 14:29,,,,,,,,V,,V,,,,,,,,,,,,,,,
1148,חיי בשרים ,Prov 14:30,,,,,,,,,,V,,,,,,,,,,,,,,,
1149,לב מרפא,Prov 14:30,,,,,,,,,,V,,,,,,,,,,,,,,,
1150,ורקב עצמות,Prov 14:30,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1151,וְחֶ֖סֶד לְאֻמִּ֣ים,Prov 14:34,,,,,,,,V,,V,,,,,,,,,,,,,,,
1152,רצון מלך ,Prov 14:35,,,,,,,,,,V,,,,,,,,,,,,,,,
1153,מַֽעֲנֶה־רַּ֭ךְ ,Prov 15:1,?,,,,,,,,,V,,,,,,,,,,,,,,,
1154,ודבר עצב,Prov 15:1,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1155,לשון חכמים,Prov 15:2,,,,,,,,,,V,,,,,,,,,,,,,,,
1156,ופי כסילים,Prov 15:2,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1157,עיני יהוה,Prov 15:3,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1158,מרפא לשון,Prov 15:4,,,,,,,,,,V,,,,,,,,,,,,,,,
1159,עץ חיים,Prov 15:4,,,,,,,,,,V,,,,,,,,,,,,,,,
1160,מוסר אביו,Prov 15:5,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1161,בית צדיק,Prov 15:6,,,,,,,,,,V,,,,,,,,,,,,,,,
1162,ובתבואת רשע,Prov 15:6,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1163,שפתי חכמים,Prov 15:7,,,,,,,,,,V,,,,,,,,,,,,,,,
1164,ולב כסילים,Prov 15:7,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1165,זבח רשעים,Prov 15:8,,,,,,,,,,V,,,,,,,,,,,,,,,
1166,תועבת יהוה,Prov 15:8,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1167,ותפלת ישרים,Prov 15:8,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1168,תועבת יהוה,Prov 15:9,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1169,לבות בני אדם,Prov 15:11,,,,,,,,,,V,,,2,,,,,,,,,,,,
1170,ובעצבת לב,Prov 15:13,,,,,,,,V,V,V,,,,,,,,,,,,,,,
1171,ופני כסילים,Prov 15:14,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1172,כל ימי עני,Prov 15:15,,,,,,V,,,,V,,,,,,,,,,,,,,,
1173,ביראת יהוה,Prov 15:16,,,יהוה,,,,,,V,V,,,,,,,,,,,,,,,
1174,ארחת ירק,Prov 15:17,,,,,,,,,,V,,,,,,,,,,,,,,,
1175,איש חמה,Prov 15:18,,,,,,,,,,V,,,,,,,,,,,,,,,
1176,וארך אפים,Prov 15:18,,,,,,,,V,,V,,,,,,,,,,,,,,,
1177,משכת חדק,Prov 15:19,,,,,,,,,,V,,,,,,,,,,,,,,,
1178,וארח ישרים,Prov 15:19,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1179,לחסר לב,Prov 15:21,?,,,,,,,,V,V,,,,,,,,,,,,,,,
1180,ואיש תבונה,Prov 15:21,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1181,ומענה פיו,Prov 15:23,,,,,,,V,V, ,V,,,,,,,,,,,,,,,
1182,ארח חיים,Prov 15:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1183,בית גאים,Prov 15:25,,,,,,,,,,V,,,,,,,,,,,,,,,
1184,גבול אלמנה,Prov 15:25,,,,,,,,,,V,,,,,,,,,,,,,,,
1185,תועבת יהוה,Prov 15:26,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1186,מחשבות רע ,Prov 15:26,,,,,,,,,,V,,,,,,,,,,,,,,,
1187,אמרי נעם,Prov 15:26,,,,,,,,,,V,,,,,,,,,,,,,,,
1188,וּפִ֥י רְ֝שָׁעִ֗ים,Prov 15:28,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1189,ותפלת צדיקים,Prov 15:29,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1190,שמעת תוכחת חיים,Prov 15:31,,,,,,,,,,V,,,2,,,,,,,,,V, ,,
1191,יראת יהוה,Prov 15:33,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1192,מוסר חכמה,Prov 15:33,,,,,,,,,,V,,,,,,,,,,,,,,,
1193,מערכי לב,Prov 16:1,,,,,,,,,,V,,,,,,,,,,,,,,,
1194,מענה לשון,Prov 16:1,,,,,,,,,,V,,,,,,,,,,,,,,,
1195,כל דרכי איש ,Prov 16:2,,,,,,V,,,,V,,,,,,,,,,,,,,,
1196,רוחות יהוה,Prov 16:2,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1197,ליום רעה,Prov 16:4,,,,,,,,,V,V,,,,,,,,,,,,,,,
1198,תועבת יהוה,Prov 16:5,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1199,כל גבה לב,Prov 16:5,,,,,,V,,,,V,,,,,,,,,,,,,,,
1200,וביראת יהוה,Prov 16:6,,,יהוה,,,,,V,V,V,,,,,,,,,,,,,,,
1201,דרכי איש,Prov 16:7,,,,,,,,, ,V,,,,,,,,,,,,,,,
1202,מרב תבואות,Prov 16:8,,,,,,,,,V,V,,,,,,,,,,,,,,,
1203,לב אדם,Prov 16:9,,,,,,,,,,V,,,,,,,,,,,,,,,
1204,שפתי מלך,Prov 16:10,,,,,,,,,,V,,,,,,,,,,,,,,,
1205,ומאזני משפט,Prov 16:11,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1206,כל אבני כיס,Prov 16:11,,,,,,V,,,,V,,,,,,,,,,,,,,,
1207,תֹּועֲבַ֣ת מְ֭לָכִים,Prov 16:12,,,,,,,,,,V,,,,,,,,,,,,,,,
1208,רצון מלכים,Prov 16:13,,,,,,,,,,V,,,,,,,,,,,,,,,
1209,שפתי צדק,Prov 16:13,,,,,,,,,,V,,,,,,,,,,,,,,,
1210,חמת מלך ,Prov 16:14,,,,,,,,,,V,,,,,,,,,,,,,,,
1211,מלאכי מות,Prov 16:14,,,,,,,,,,V,,,,,,,,,,,,,,,
1212,באור פני מלך,Prov 16:15,,,,,,,,,V,V,,,2,,,,,,,,,,,,
1213,כְּעָ֣ב מַלְקֹֽושׁ,Prov 16:15,,,,,,,,,V,V,,,,,,,,,,,,,,,
1214,מסלת ישרים,Prov 16:17,,,,,,,,,,V,,,,,,,,,,,,,,,
1215,גבה רוח,Prov 16:18,,,,,,,,,,V,,,,,,,,,,,,,,,
1216,לַחֲכַם־לֵ֭ב,Prov 16:21,,,,,,,,,V,V,,,,,,,,,,,,,,,
1217,מקור חיים,Prov 16:22,,,,,,,,,,V,,,,,,,,,,,,,,,
1218,שֵׂ֣כֶל בְּעָלָ֑יו,Prov 16:22,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1219,ומוסר אולים,Prov 16:22,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1220,צוף דבש,Prov 16:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1221,אמרי נעם,Prov 16:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1222,דרכי מות,Prov 16:25,,,,,,,,,,V,,,,,,,,,,,,,,,
1223,איש בליעל,Prov 16:27,,,,,,,,,,V,,,,,,,,,,,,,,,
1224,איש תהפכות ,Prov 16:28,,,,,,,,,,V,,,,,,,,,,,,,,,
1225,איש חמס ,Prov 16:29,,,,,,,,,,V,,,,,,,,,,,,,,,
1226,עטרת תפארת,Prov 16:31,,,,,,,,,,V,,,,,,,,,,,,,,,
1227,בדרך צדקה,Prov 16:31,,,,,,,,,V,V,,,,,,,,,,,,,,,
1228,ארך אפים,Prov 16:32,,,,,,,,,,V,,,,,,,,,,,,,,,
1229,מִלֹּכֵ֥ד עִֽיר,Prov 16:32,,,,,,,,,V,V,,,,,,,,,,,,,V,,
1230,זבחי ריב,Prov 17: 1,,,,,,,,,,V,,,,,,,,,,,,,,,
1231,לבות יהוה,Prov 17: 3,,,יהוה,,,,,, ,V,,,,,,,,,,,,,,,
1232,שפת און,Prov 17: 4,,,,,,,,,,V,,,,,,,,,,,,,,,
1233,לשון הות,Prov 17: 4,,,,,,,,,,V,,,,,,,,,,,,,,,
1234,עטרת זקנים,Prov 17: 6,,,,,,,,,,V,,,,,,,,,,,,,,,
1235,בני בנים,Prov 17: 6,,,,,,,,,,V,,,,,,,,,,,,,,,
1236,ותפארת בנים,Prov 17: 6,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1237,שפת יתר,Prov 17: 7,,,,,,,,,,V,,,,,,,,,,,,,,,
1238,שפת שקר,Prov 17: 7,,,,,,,,,,V,,,,,,,,,,,,,,,
1239,אבן חן,Prov 17: 8,,,,,,,,,,V,,,,,,,,,,,,,,,
1240,בעיני בעליו,Prov 17: 8,,,,,,,V,,V,V,,,,,,,,,,,,,,,
1241,ראשית מדון,Prov 17: 14,,,,,,,,,,V,,,,,,,,,,,,,,,
1242,תועבת יהוה,Prov 17: 15,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1243,ביד כסיל,Prov 17: 16,,,,,,,,,V,V,,,,,,,,,,,,,,,
1244,ולב אין,Prov 17: 16,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1245,חסר לב,Prov 17: 18,,,,,,,,,,V,,,,,,,,,,,,,V,,
1246,אבי נבל,Prov 17: 21,,,,,,,,,,V,,,,,,,,,,,,,,,
1247,מחיק רשע,Prov 17: 23,,,,,,,,,V,V,,,,,,,,,,,,,,,
1248,ארחות משפט,Prov 17: 23,,,,,,,,,,V,,,,,,,,,,,,,,,
1249,פני מבין ,Prov 17: 24,,,,,,,,,,V,,,,,,,,,,,,,,,
1250,ועיני כסיל,Prov 17: 24,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1251,בקצה ארץ,Prov 17: 24,,,,,,,,,V,V,,,,,,,,,,,,,,,
1252,וקר רוח,Prov 17: 27,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1253,איש תבונה,Prov 17: 27,,,,,,,,,,V,,,,,,,,,,,,,,,
1254,אטם שפתיו,Prov 17: 28,,,,,,,V,, ,V,,,,,,,,,,,,,V,,
1255,דברי פי איש,Prov 18:3,,,,,,,,,,V,,,2,,,,,,,,,,,,
1256,מקור חכמה,Prov 18:4,,,,,,,,,,V,,,,,,,,,,,,,,,
1257,פני רשע,Prov 18:5,,,,,,,,,,V,,,,,,,,,,,,,,,
1258,שפתי כסיל,Prov 18:6,,,,,,,,,,V,,,,,,,,,,,,,,,
1259,פי כסיל,Prov 18:7,,,,,,,,,,V,,,,,,,,,,,,,,,
1260,מֹוקֵ֥שׁ נַפְשֹֽׁו,Prov 18:7,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1261,דברי נרגן,Prov 18:8,,,,,,,,,,V,,,,,,,,,,,,,,,
1262,חַדְרֵי־בָֽטֶן,Prov 18:8,,,,,,,,,,V,,,,,,,,,,,,,,,
1263,לבעל משחית,Prov 18:9,,,,,,,,,V,V,,,,,,,,,,,,,,,
1264,מגדל עז,Prov 18:10,,,,,,,,,,V,,,,,,,,,,,,,,,
1265,שם יהוה,Prov 18:10,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1266,קרית עזו,Prov 18:11,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1267,לב איש,Prov 18:12,,,,,,,,,,V,,,,,,,,,,,,,,,
1268,רוח איש,Prov 18:14,,,,,,,,,,V,,,,,,,,,,,,,,,
1269,ואזן חכמים,Prov 18:15,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1270,מתן אדם,Prov 18:16,,,,,,,,,,V,,,,,,,,,,,,,,,
1271,מקרית עז,Prov 18:19,,,,,,,,,V,V,,,,,,,,,,,,,,,
1272,כבריח ארמון,Prov 18:19,,,,,,,,,V,V,,,,,,,,,,,,,,,
1273,מפרי פי איש,Prov 18:20,,,,,,,,,V,V,,,2,,,,,,,,,,,,
1274,תבואת שפתיו,Prov 18:20,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1275,ביד לשון,Prov 18:21,,,,,,,,,V,V,,,,,,,,,,,,,,,
1276,איש רעים,Prov 18:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1277,אולת אדם,Prov 19:3,,,,,,,,,,V,,,,,,,,,,,,,,,
1278,עד שקרים,Prov 19:5,,,,,,,,,,V,,,,,,,,,,,,,,,
1279,פני נדיב,Prov 19:6,,,,,,,,,,V,,,,,,,,,,,,,,,
1280,לאיש מתן,Prov 19:6,,,,,,,,,V,V,,,,,,,,,,,,,,,
1281,כל אחי רש,Prov 19:7,,,,,,V,,,,V,,,,,,,,,,,,,,,
1282,מרדף אמרים,Prov 19:7,,,,,,,,,,V,,,,,,,,,,,,,,,
1283,עד שקרים,Prov 19:9,,,,,,,,,,V,,,,,,,,,,,,,,,
1284,שכל אדם,Prov 19:11,,,,,,,,,,V,,,,,,,,,,,,,,,
1285,זעף מלך,Prov 19:12,,,,,,,,,,V,,,,,,,,,,,,,,,
1286,מִדְיְנֵ֥י אִשָּֽׁה,Prov 19:13,,,,,,,,, ,V,,,,,,,,,,,,,,,
1287,נחלת אבות,Prov 19:14,,,,,,,,,,V,,,,,,,,,,,,,,,
1288,וְנֶ֖פֶשׁ רְמִיָּ֣ה ,Prov 19:15,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1289,בֹּוזֵ֖ה דְרָכָ֣יו,Prov 19:16,,,,,,,V,, ,V,,,,,,,,,,,,,V,,
1290,מַלְוֵ֣ה יְ֭הוָה,Prov 19:17,,,יהוה,,,,,,,V,,,,,,,,,,,,,V,,
1291,בלב איש ,Prov 19:21,,,,,,,,,V,V,,,,,,,,,,,,,,,
1292,וַעֲצַ֥ת יְ֝הוָ֗ה,Prov 19:21,,,יהוה,,,,,V, ,V,,,,,,,,,,,,,,,
1293,תאות אדם,Prov 19:22,,,,,,,,,,V,,,,,,,,,,,,,,,
1294,מאיש כזב,Prov 19:22,,,,,,,,,V,V,,,,,,,,,,,,,,,
1295,יראת יהוה,Prov 19:23,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1296,מאמרי דעת,Prov 19:27,,,,,,,,,V,V,,,,,,,,,,,,,,,
1297,עד בליעל,Prov 19:28,,,,,,,,,,V,,,,,,,,,,,,,,,
1298,ופי רשעים,Prov 19:28,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1299,לגו כסילים,Prov 19:29,,,,,,,,,V,V,,,,,,,,,,,,,,,
1300,אימת מלך,Prov 20:2,,,,,,,,,,V,,,,,,,,,,,,,,,
1301,בלב איש ,Prov 20:5,,,,,,,,,V,V,,,,,,,,,,,,,,,
1302,ואיש תבונה,Prov 20:5,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1303,ואיש אמונים,Prov 20:6,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1304,כסא דין,Prov 20:8,,,,,,,,,,V,,,,,,,,,,,,,,,
1305,תועבת יהוה,Prov 20:10,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1306,שבע לחם,Prov 20:13,,,,,,,,,,V,,,,,,,,,,,,,,,
1307,ורב פנינים,Prov 20:15,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1308,וכלי יקר,Prov 20:15,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1309,שפתי דעת,Prov 20:15,,,,,,,,,,V,,,,,,,,,,,,,,,
1310,לחם שקר,Prov 20:17,,,,,,,,,,V,,,,,,,,,,,,,,,
1311,באישון חשך,Prov 20:20,,,,,,,,,V,V,,,,,,,,,,,,,,,
1312,תועבת יהוה,Prov 20:23,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1313,ומאזני מרמה,Prov 20:23,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1314,מצעדי גבר,Prov 20:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1315,מוקש אדם,Prov 20:25,,,,,,,,,,V,,,,,,,,,,,,,,,
1316,נר יהוה,Prov 20:27,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1317,נשמת אדם,Prov 20:27,,,,,,,,,,V,,,,,,,,,,,,,,,
1318,כל חדרי בטן,Prov 20:27,,,,,,V,,,,V,,,,,,,,,,,,,,,
1319,תפארת בחורים,Prov 20:29,,,,,,,,,,V,,,,,,,,,,,,,,,
1320,והדר זקנים,Prov 20:29,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1321,חברות פצע,Prov 20:30,,,,,,,,,,V,,,,,,,,,,,,,,,
1322,ומכות חדרי בטן,Prov 20:30,?,,,,,,,V, ,V,,,2,,,,,,,,,,,,
1323,פלגי מים,Prov 21:1,,,,,,,,,,V,,,,,,,,,,,,,,,
1324,לב מלך,Prov 21:1,,,,,,,,,,V,,,,,,,,,,,,,,,
1325,ביד יהוה,Prov 21:1,,,יהוה,,,,,,V,V,,,,,,,,,,,,,,,
1326,כל דרך איש,Prov 21:2,,,,,,V,,,,V,,,,,,,,,,,,,,,
1327,ורחב לב,Prov 21:4,,,,,,,,V,,V,,,,,,,,,,,,,,,
1328,נר רשעים,Prov 21:4,,,,,,,,, ,V,,,,,,,,,,,,,,,
1329,מחשבות חרוץ,Prov 21:5,,,,,,,,,,V,,,,,,,,,,,,,,,
1330,בלשון שקר,Prov 21:6,,,,,,,,,V,V,,,,,,,,,,,,,,,
1331,מבקשי מות,Prov 21:6,,,,,,,,,,V,,,,,,,,,,,V,, ,,
1332,שד רשעים,Prov 21:7,,,,,,,,,,V,,,,,,,,,,,,,,,
1333,דרך איש,Prov 21:8,,,,,,,,,,V,,,,,,,,,,,,,,,
1334,פנת גג,Prov 21:9,,,,,,,,,,V,,,,,,,,,,,,,,,
1335,מאשת מדינים,Prov 21:9,,,,,,,,,V,V,,,,,,,,,,,,,,,
1336,ובית חבר,Prov 21:9,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1337,לבית רשע,Prov 21:12,,,,,,,,,V,V,,,,,,,,,,,,,,,
1338,מזעקת דל,Prov 21:13,,,,,,,,,V,V,,,,,,,,,,,,,,,
1339,לפעלי און,Prov 21:15,,,,,,,,,V,V,,,,,,,,,,,V,, ,,
1340,מדרך השכל,Prov 21:16,,,,,,,,,V,V,,,,,,,,,,,,,,,
1341,בקהל רפאים,Prov 21:16,,,,,,,,,V,V,,,,,,,,,,,,,,,
1342,איש מחסור,Prov 21:17,,,,,,,,,,V,,,,,,,,,,,,,,,
1343,בארץ מדבר,Prov 21:19,,,,,,,,,V,V,,,,,,,,,,,,,,,
1344,מאשת מדונים וכעס,Prov 21:19,,,,,,,,,V,V,,2, ,,,,,,,,,,,,
1345,בנוה חכם,Prov 21:20,,,,,,,,,V,V,,,,,,,,,,,,,,,
1346,וכסיל אדם,Prov 21:20,,,,,,,,V, ,V,,,,,,,,,,,,,,,
1347,עיר גברים,Prov 21:22,,,,,,,,,,V,,,,,,,,,,,,,,,
1348,עז מבטחה,Prov 21:22,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1349,בעברת זדון,Prov 21:24,,,,,,,,,V,V,,,,,,,,,,,,,,,
1350,תאות עצל,Prov 21:25,,,,,,,,,,V,,,,,,,,,,,,,,,
1351,זבח רשעים,Prov 21:27,,,,,,,,,,V,,,,,,,,,,,,,,,
1352,עד כזבים,Prov 21:28,,,,,,,,,,V,,,,,,,,,,,,,,,
1353,ליום מלחמה,Prov 21:31,,,,,,,,,V,V,,,,,,,,,,,,,,,
1354,עֹשֵׂה כֻלָּם,Prov 22:2,,,,,,,,,,V,,,,,,,,,,,,,V,,
1355,יראת יהוה,Prov 22:4,,,יהוה,,,,,,,V,,,,,,,,,,,,,,,
1356,ושבט עברתו,Prov 22:8,,,,,,,V,V, ,V,,,,,,,,,,,,,,,
1357,טוב עין,Prov 22:9,,,,,,,,,,V,,,,,,,,,,,,,,,
1358,טְהֹור־*לֵ֑ב,Prov 22:11,,,,,,,,,,V,,,,,,,,,,,,,,,
1359,חן שפתיו,Prov 22:11,,,,,,,V,, ,V,,,,,,,,,,,,,,,
1360,עיני יהוה,Prov 22:12,,,יהוה,,, ,,,,V,,,,,,,,,,,,,,,
1361,דִּבְרֵ֥י בֹגֵֽד,Prov 22:12,,,,,,,,,,V,,,,,,,,,,,,,V,,
1362,פי זרות ,Prov 22:14,,,,,,,,,,V,,,,,V,,,,,,,, ,,
1363,זְע֥וּם יְ֝הוָ֗ה,Prov 22:14,,,יהוה,,,,,,,V,,,,,,,,,V,,,,V,,
1364,בלב נער,Prov 22:15,,,,,,,,,V,V,,,,,,,,,,,,,,,
1365,שבט מוסר,Prov 22:15,,,,,, ,,,,V,,,,,,,,,,,,,,,
1366,דברי חכמים,Prov 22:17,,,,,,,,,,V,,,,,,,,,,,,,,,
1367,קשט אמרי אמת,Prov 22:21,,,,,,,,,,V,,,2,,,,,,,,,,,,
1368,בעל אף,Prov 22:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1369,איש חמות,Prov 22:24,,,,,,,,,,V,,,,,,,,,,,,,,,
1370,בְתֹֽקְעֵי־כָ֑ף,Prov 22:26,,,,,,,,,V,V,,,,,,,,,,,V,, ,,
